,기간,자치구,총전입,총전출
572,2016년09월,강동구,"5,738","6,639"
573,2016년10월,강동구,"6,463","8,177"
574,2016년11월,강동구,"6,183","7,330"
575,2016년12월,강동구,"5,547","6,812"
576,2017년01월,강동구,"6,412","5,634"
577,2017년02월,강동구,"10,619","7,862"
578,2017년03월,강동구,"8,193","7,225"
579,2017년04월,강동구,"6,038","5,879"
580,2017년05월,강동구,"6,299","6,274"
581,2017년06월,강동구,"5,981","6,524"
582,2017년07월,강동구,"6,204","7,830"
583,2017년08월,강동구,"7,987","10,169"
584,2017년09월,강동구,"6,775","9,575"
585,2017년10월,강동구,"5,547","7,849"
586,2017년11월,강동구,"5,582","8,330"
587,2017년12월,강동구,"5,978","7,668"
588,2018년01월,강동구,"5,743","6,674"
589,2018년02월,강동구,"5,626","6,309"
590,2018년03월,강동구,"5,776","6,567"
591,2018년04월,강동구,"4,958","5,542"
592,2018년05월,강동구,"4,884","5,477"
593,2018년06월,강동구,"4,503","4,866"
594,2018년07월,강동구,"4,322","5,006"
595,2018년08월,강동구,"4,488","5,372"
596,2018년09월,강동구,"3,609","4,331"
597,2018년10월,강동구,"5,389","6,482"
598,2018년11월,강동구,"5,319","6,602"
599,2018년12월,강동구,"4,717","5,705"
600,2014년01월,광진구,"3,776","4,178"
601,2014년02월,광진구,"5,508","5,766"
602,2014년03월,광진구,"5,787","6,118"
603,2014년04월,광진구,"5,083","5,694"
604,2014년05월,광진구,"5,129","5,807"
605,2014년06월,광진구,"4,325","4,933"
606,2014년07월,광진구,"4,262","5,058"
607,2014년08월,광진구,"4,386","4,998"
608,2014년09월,광진구,"4,087","4,764"
609,2014년10월,광진구,"5,154","6,051"
610,2014년11월,광진구,"4,504","5,354"
611,2014년12월,광진구,"4,777","5,468"
612,2015년01월,광진구,"4,193","4,529"
613,2015년02월,광진구,"4,897","4,961"
614,2015년03월,광진구,"6,199","6,531"
615,2015년04월,광진구,"5,444","5,873"
616,2015년05월,광진구,"4,872","5,317"
617,2015년06월,광진구,"5,038","5,622"
618,2015년07월,광진구,"4,916","5,338"
619,2015년08월,광진구,"4,652","5,229"
620,2015년09월,광진구,"4,094","4,627"
