,기간,자치구,승하차 평균
6,2011년07월,노원구,17181.7
7,2011년08월,노원구,17703.3
8,2011년09월,노원구,21105.3
9,2011년10월,노원구,21314.3
10,2011년11월,노원구,21724.3
11,2011년12월,노원구,19646.0
12,2012년01월,노원구,27791.8
13,2012년02월,노원구,30169.1
14,2012년03월,노원구,32339.4
15,2012년04월,노원구,31944.2
16,2012년05월,노원구,32890.7
17,2012년06월,노원구,31265.5
18,2012년07월,노원구,29619.3
19,2012년08월,노원구,27875.2
20,2012년09월,노원구,30535.2
21,2012년10월,노원구,31164.0
22,2012년11월,노원구,32350.9
23,2012년12월,노원구,30461.5
24,2013년01월,노원구,26687.6
25,2013년02월,노원구,26799.4
26,2013년03월,노원구,29627.7
27,2013년04월,노원구,30304.6
28,2013년05월,노원구,30540.1
29,2013년06월,노원구,28295.6
30,2013년07월,노원구,27084.5
31,2013년08월,노원구,25938.9
32,2013년09월,노원구,26701.1
33,2013년10월,노원구,29341.5
34,2013년11월,노원구,29671.5
35,2013년12월,노원구,28988.7
36,2014년01월,노원구,28703.5
37,2014년02월,노원구,30292.9
38,2014년03월,노원구,32722.7
39,2014년04월,노원구,33331.8
40,2014년05월,노원구,32722.4
41,2014년06월,노원구,31090.5
42,2014년07월,노원구,31004.5
43,2014년08월,노원구,29092.2
44,2014년09월,노원구,30565.7
45,2014년10월,노원구,32108.0
46,2014년11월,노원구,31962.8
47,2014년12월,노원구,32029.2
48,2015년01월,노원구,27270.4
49,2015년02월,노원구,26073.6
50,2015년03월,노원구,30789.6
51,2015년04월,노원구,31060.2
52,2015년05월,노원구,30054.8
53,2015년06월,노원구,27463.3
54,2015년07월,노원구,27423.5
55,2015년08월,노원구,26119.1
56,2015년09월,노원구,28348.1
57,2015년10월,노원구,29544.6
58,2015년11월,노원구,29431.6
59,2015년12월,노원구,29121.4
60,2016년01월,노원구,28035.3
61,2016년02월,노원구,27917.8
62,2016년03월,노원구,32174.6
63,2016년04월,노원구,31853.1
64,2016년05월,노원구,31939.2
65,2016년06월,노원구,31076.4
66,2016년07월,노원구,29435.2
67,2016년08월,노원구,28501.5
68,2016년09월,노원구,29418.9
